task,send_time_s,latency_ms,phase
ecgclass,0.0000,234.512,1
ecgclass,0.0659,196.992,1
ecgclass,0.1591,141.457,1
ecgclass,0.2472,91.806,1
ecgclass,0.3931,10.147,1
ecgclass,0.3994,13.233,1
ecgclass,0.4507,10.674,1
ecgclass,0.5982,9.982,1
ecgclass,0.6025,15.046,1
ecgclass,0.6037,23.219,1
ecgclass,0.6325,26.456,1
ecgclass,0.6640,13.655,1
ecgclass,0.7164,15.987,1
ecgclass,0.7217,29.480,1
ecgclass,0.7730,18.892,1
ecgclass,0.8243,10.132,1
ecgclass,0.8306,13.143,1
ecgclass,0.8489,13.798,1
ecgclass,0.8781,12.616,1
ecgclass,1.0123,10.349,1
ecgclass,1.0367,9.973,1
ecgclass,1.0578,10.037,1
ecgclass,1.0631,14.178,1
ecgclass,1.1277,10.433,1
ecgclass,1.1301,17.401,1
ecgclass,1.2305,10.194,1
ecgclass,1.2427,9.820,1
ecgclass,1.3361,16.407,1
ecgclass,1.3502,11.630,1
ecgclass,1.3832,18.371,1
ecgclass,1.4600,9.860,1
ecgclass,1.4633,15.949,1
ecgclass,1.4844,13.566,1
ecgclass,1.4876,19.837,1
ecgclass,1.5030,13.970,1
ecgclass,1.5345,9.932,1
ecgclass,1.5397,14.030,1
ecgclass,1.6261,10.355,1
ecgclass,1.6435,9.848,1
ecgclass,1.6458,17.009,1
ecgclass,1.7158,17.015,1
ecgclass,1.7489,10.120,1
ecgclass,1.8033,10.099,1
ecgclass,1.8157,18.367,1
ecgclass,1.8932,18.625,1
ecgclass,1.9077,13.501,1
ecgclass,1.9432,10.167,1
ecgclass,1.9565,9.931,1
ecgclass,1.9663,9.766,1
ecgclass,1.9696,15.842,1
ecgclass,2.1362,11.110,1
ecgclass,2.1589,17.184,1
ecgclass,2.1792,25.370,1
ecgclass,2.2522,11.069,1
ecgclass,2.3244,12.550,1
ecgclass,2.3318,14.877,1
ecgclass,2.3568,10.015,1
ecgclass,2.3590,17.360,1
ecgclass,2.3632,22.571,1
ecgclass,2.4142,10.168,1
ecgclass,2.4655,10.647,1
ecgclass,2.5266,10.557,1
ecgclass,2.5479,9.757,1
ecgclass,2.5843,14.072,1
ecgclass,2.5931,14.657,1
ecgclass,2.6055,11.582,1
ecgclass,2.6138,12.554,1
ecgclass,2.6315,9.910,1
ecgclass,2.6585,10.068,1
ecgclass,2.7335,10.203,1
ecgclass,2.7630,13.999,1
ecgclass,2.8031,9.827,1
ecgclass,2.8160,9.778,1
ecgclass,2.8223,13.028,1
ecgclass,2.8511,9.838,1
ecgclass,2.9287,16.447,1
ecgclass,2.9389,15.571,1
ecgclass,2.9556,9.775,1
ecgclass,2.9664,9.784,1
ecgclass,2.9793,9.844,1
ecgclass,3.0062,10.049,1
ecgclass,3.0257,9.700,1
ecgclass,3.1714,10.604,1
ecgclass,3.1817,9.865,1
ecgclass,3.1840,16.811,1
ecgclass,3.2933,10.132,1
ecgclass,3.2976,15.184,1
ecgclass,3.3488,10.093,1
ecgclass,3.3940,9.996,1
ecgclass,3.3953,18.125,1
ecgclass,3.4378,15.285,1
ecgclass,3.4420,20.589,1
ecgclass,3.4529,28.477,1
ecgclass,3.4686,22.204,1
ecgclass,3.4949,9.839,1
ecgclass,3.5026,30.423,1
ecgclass,3.6113,10.046,1
ecgclass,3.6126,18.091,1
ecgclass,3.6468,9.990,1
ecgclass,3.6735,30.361,1
ecgclass,3.6769,45.671,1
ecgclass,3.6821,49.917,1
ecgclass,3.7371,13.636,1
ecgclass,3.7728,10.209,1
ecgclass,3.8606,10.336,1
ecgclass,3.8990,10.164,1
ecgclass,3.9395,12.619,1
ecgclass,3.9802,10.174,1
ecgclass,4.0141,11.325,1
ecgclass,4.0375,9.950,1
ecgclass,4.0698,11.032,1
ecgclass,4.1019,10.175,1
ecgclass,4.1928,10.621,1
ecgclass,4.2325,10.210,1
ecgclass,4.2409,11.226,1
ecgclass,4.2812,10.314,1
ecgclass,4.3289,17.340,1
ecgclass,4.3564,9.920,1
ecgclass,4.3636,11.998,1
ecgclass,4.3947,10.090,1
ecgclass,4.4079,9.918,1
ecgclass,4.4275,9.783,1
ecgclass,4.5535,11.019,1
ecgclass,4.6136,10.632,1
ecgclass,4.6688,21.145,1
ecgclass,4.6898,9.852,1
ecgclass,4.6931,15.908,1
ecgclass,4.7048,13.646,1
ecgclass,4.7415,10.377,1
ecgclass,4.7790,10.262,1
ecgclass,4.8163,10.192,1
ecgclass,4.8306,9.839,1
ecgclass,4.8415,9.792,1
ecgclass,4.9959,9.873,1
ecgclass,5.0259,10.935,1
ecgclass,5.0272,18.983,1
ecgclass,5.1305,10.670,1
ecgclass,5.1381,21.765,1
ecgclass,5.1680,9.987,1
ecgclass,5.1881,9.931,1
ecgclass,5.1903,17.026,1
ecgclass,5.2134,9.967,1
ecgclass,5.2521,10.096,1
ecgclass,5.2633,17.816,1
ecgclass,5.2696,20.940,1
ecgclass,5.2852,24.124,1
ecgclass,5.3052,22.975,1
ecgclass,5.3342,9.964,1
ecgclass,5.3425,11.274,1
ecgclass,5.3631,19.056,1
ecgclass,5.3663,25.167,1
ecgclass,5.3902,10.653,1
ecgclass,5.4290,10.355,1
ecgclass,5.4373,11.341,1
ecgclass,5.5015,20.318,1
ecgclass,5.5409,10.116,1
ecgclass,5.5492,11.272,1
ecgclass,5.5551,14.911,1
ecgclass,5.5603,19.161,1
ecgclass,5.6463,10.571,1
ecgclass,5.6683,9.896,1
ecgclass,5.6755,11.968,1
ecgclass,5.6926,9.825,1
ecgclass,5.8432,10.164,1
ecgclass,5.8485,14.205,1
ecgclass,5.8991,10.245,1
ecgclass,5.9464,10.450,1
ecgclass,6.0049,10.427,1
ecgclass,6.0062,18.528,1
ecgclass,6.0184,15.647,1
ecgclass,6.1165,10.121,1
ecgclass,6.1547,10.151,1
ecgclass,6.1840,10.074,1
ecgclass,6.1951,17.859,1
ecgclass,6.3235,9.709,1
ecgclass,6.3290,23.101,1
ecgclass,6.4047,10.046,1
ecgclass,6.4583,9.992,1
ecgclass,6.4953,15.684,1
ecgclass,6.5087,11.699,1
ecgclass,6.5141,15.988,1
ecgclass,6.5203,19.220,1
ecgclass,6.5604,9.885,1
ecgclass,6.5626,17.126,1
ecgclass,6.5754,13.886,1
ecgclass,6.6093,10.242,1
ecgclass,6.6583,10.206,1
ecgclass,6.6756,9.897,1
ecgclass,6.6956,9.920,1
ecgclass,6.7096,9.765,1
ecgclass,6.7652,10.000,1
ecgclass,6.8193,10.458,1
ecgclass,6.8296,9.719,1
ecgclass,6.8464,11.570,1
ecgclass,6.8641,9.906,1
ecgclass,6.9371,10.374,1
ecgclass,6.9646,9.940,1
ecgclass,6.9678,16.045,1
ecgclass,6.9776,15.705,1
ecgclass,7.0014,10.561,1
ecgclass,7.0240,9.966,1
ecgclass,7.0561,10.028,1
ecgclass,7.0584,17.335,1
ecgclass,7.0615,23.336,1
ecgclass,7.0629,31.608,1
ecgclass,7.0722,41.168,1
ecgclass,7.0910,31.779,1
ecgclass,7.1039,28.275,1
ecgclass,7.1101,31.509,1
ecgclass,7.1154,35.632,1
ecgclass,7.1796,10.331,1
ecgclass,7.1920,16.921,1
ecgclass,7.1921,26.242,1
ecgclass,7.2372,28.987,1
ecgclass,7.2540,31.394,1
ecgclass,7.2562,38.685,1
ecgclass,7.2703,43.763,1
ecgclass,7.3551,10.272,1
ecgclass,7.3735,10.019,1
ecgclass,7.3747,18.186,1
ecgclass,7.3779,24.352,1
ecgclass,7.4474,10.465,1
ecgclass,7.6196,9.750,1
ecgclass,7.6615,11.445,1
ecgclass,7.6657,16.680,1
ecgclass,7.7378,10.610,1
ecgclass,7.7637,9.923,1
ecgclass,7.7670,16.025,1
ecgclass,7.7682,24.133,1
ecgclass,7.8134,10.243,1
ecgclass,7.8414,10.378,1
ecgclass,7.8633,16.592,1
ecgclass,7.8860,9.944,1
ecgclass,8.0642,11.505,1
ecgclass,8.0685,16.538,1
ecgclass,8.0932,9.934,1
ecgclass,8.0984,14.004,1
ecgclass,8.2166,9.806,1
ecgclass,8.2357,9.818,1
ecgclass,8.2807,10.333,1
ecgclass,8.3324,10.478,1
ecgclass,8.3327,19.578,1
ecgclass,8.3594,9.848,1
ecgclass,8.4013,9.927,1
ecgclass,8.4143,9.776,1
ecgclass,8.4542,10.673,1
ecgclass,8.4920,10.143,1
ecgclass,8.5604,9.806,1
ecgclass,8.6574,9.668,1
ecgclass,8.7732,12.754,1
ecgclass,8.8396,9.995,1
ecgclass,8.8558,19.252,1
ecgclass,8.8845,22.014,1
ecgclass,8.9379,16.221,1
ecgclass,9.0136,14.989,1
ecgclass,9.0396,10.000,1
ecgclass,9.0495,9.728,1
ecgclass,9.0980,9.909,1
ecgclass,9.1160,9.916,1
ecgclass,9.1330,9.823,1
ecgclass,9.1593,17.776,1
ecgclass,9.1605,25.919,1
ecgclass,9.1647,31.162,1
ecgclass,9.1945,10.804,1
ecgclass,9.1958,19.113,1
ecgclass,9.2040,20.396,1
ecgclass,9.2104,23.528,1
ecgclass,9.2189,24.503,1
ecgclass,9.2900,9.897,1
ecgclass,9.2999,18.709,1
ecgclass,9.3729,10.205,1
ecgclass,9.3924,18.127,1
ecgclass,9.4093,10.619,1
ecgclass,9.4390,10.167,1
ecgclass,9.4402,18.277,1
ecgclass,9.4996,10.445,1
ecgclass,9.6615,18.380,1
ecgclass,9.6657,23.511,1
ecgclass,9.6993,9.989,1
ecgclass,9.7016,17.114,1
ecgclass,9.7701,15.062,1
ecgclass,9.8447,10.124,1
ecgclass,9.9233,9.752,1
ecgclass,9.9524,9.897,1
ecgclass,9.9674,23.060,1
ecgclass,9.9696,30.160,1
ecgclass,9.9748,34.471,1
ecgclass,10.0039,24.348,1
ecgclass,10.0133,24.359,1
ecgclass,10.0537,13.871,1
ecgclass,10.1300,19.362,1
ecgclass,10.1691,9.743,1
ecgclass,10.2172,9.895,1
ecgclass,10.3123,10.665,1
ecgclass,10.3227,9.824,1
ecgclass,10.3366,9.919,1
ecgclass,10.3464,9.749,1
ecgclass,10.5730,9.978,1
ecgclass,10.6637,10.143,1
ecgclass,10.6721,11.168,1
ecgclass,10.6853,9.715,1
ecgclass,10.6905,13.951,1
ecgclass,10.7286,10.138,1
ecgclass,10.8145,9.894,1
ecgclass,10.9683,10.746,1
ecgclass,10.9939,32.372,1
ecgclass,11.0023,33.554,1
ecgclass,11.0273,17.953,1
ecgclass,11.0463,9.998,1
ecgclass,11.0562,9.860,1
ecgclass,11.1633,10.258,1
ecgclass,11.3704,10.377,1
ecgclass,11.4231,9.898,1
ecgclass,11.4314,11.108,1
ecgclass,11.4559,9.824,1
ecgclass,11.4592,15.985,1
ecgclass,11.5059,12.073,1
ecgclass,11.5333,16.024,1
ecgclass,11.5975,10.545,1
ecgclass,11.6091,9.690,1
ecgclass,11.6329,10.026,1
ecgclass,11.6440,9.769,1
ecgclass,11.6728,10.084,1
ecgclass,11.7428,10.262,1
ecgclass,11.7666,19.286,1
ecgclass,11.7775,17.790,1
ecgclass,11.7807,24.210,1
ecgclass,11.7850,38.835,1
ecgclass,11.8090,43.473,1
ecgclass,11.8214,40.466,1
ecgclass,11.8834,10.478,1
ecgclass,11.9080,10.020,1
ecgclass,11.9153,12.095,1
ecgclass,11.9241,12.769,1
ecgclass,11.9666,10.135,1
ecgclass,12.0009,10.168,1
ecgclass,12.0052,15.205,1
ecgclass,12.0515,10.307,1
ecgclass,12.0679,9.947,1
ecgclass,12.0921,12.928,1
ecgclass,12.1018,12.597,1
ecgclass,12.1927,11.088,1
ecgclass,12.2183,13.597,1
ecgclass,12.2490,10.139,1
ecgclass,12.2795,9.945,1
ecgclass,12.2947,15.912,1
ecgclass,12.3290,15.104,1
ecgclass,12.3502,9.899,1
ecgclass,12.3545,24.290,1
ecgclass,12.5350,9.809,1
ecgclass,12.5609,10.081,1
ecgclass,12.5741,9.794,1
ecgclass,12.6103,14.532,1
ecgclass,12.6896,9.938,1
ecgclass,12.6896,19.335,1
ecgclass,12.7120,15.577,1
ecgclass,12.7297,9.792,1
ecgclass,12.7426,9.856,1
ecgclass,12.7488,13.025,1
ecgclass,12.7617,9.713,1
ecgclass,12.7639,16.892,1
ecgclass,12.7691,21.009,1
ecgclass,12.8423,10.266,1
ecgclass,12.8547,9.899,1
ecgclass,12.8936,10.400,1
ecgclass,12.9381,10.335,1
ecgclass,12.9592,9.808,1
ecgclass,13.0161,10.510,1
ecgclass,13.0224,13.555,1
ecgclass,13.0246,20.663,1
ecgclass,13.0316,23.060,1
ecgclass,13.0349,29.315,1
ecgclass,13.0401,33.574,1
ecgclass,13.0474,45.067,1
ecgclass,13.0578,44.083,1
ecgclass,13.1322,9.841,1
ecgclass,13.2395,15.480,1
ecgclass,13.2591,9.862,1
ecgclass,13.2688,9.935,1
ecgclass,13.2712,26.574,1
ecgclass,13.3466,17.339,1
ecgclass,13.4259,9.730,1
ecgclass,13.4291,15.846,1
ecgclass,13.4437,10.612,1
ecgclass,13.5356,10.287,1
ecgclass,13.5680,10.275,1
ecgclass,13.6145,10.028,1
ecgclass,13.6456,10.244,1
ecgclass,13.6762,9.975,1
ecgclass,13.7607,10.179,1
ecgclass,13.9022,10.673,1
ecgclass,13.9499,10.326,1
ecgclass,13.9972,10.326,1
ecgclass,14.0074,9.899,1
ecgclass,14.0087,17.973,1
ecgclass,14.0337,9.830,1
ecgclass,14.0847,10.859,1
ecgclass,14.0880,16.843,1
ecgclass,14.1203,9.798,1
ecgclass,14.1257,23.170,1
ecgclass,14.1519,25.127,1
ecgclass,14.1541,32.400,1
ecgclass,14.2490,10.011,1
ecgclass,14.3073,10.184,1
ecgclass,14.3586,10.386,1
ecgclass,14.3791,9.858,1
ecgclass,14.3853,13.027,1
ecgclass,14.3875,20.159,1
ecgclass,14.4218,9.992,1
ecgclass,14.4517,17.790,1
ecgclass,14.4530,25.872,1
ecgclass,14.5334,10.501,1
ecgclass,14.5633,9.908,1
ecgclass,14.6293,10.577,1
ecgclass,14.6430,9.797,1
ecgclass,14.7021,19.454,1
ecgclass,14.7816,14.608,1
ecgclass,14.8057,21.183,1
ecgclass,14.8312,24.390,1
ecgclass,14.8619,22.312,1
ecgclass,14.8818,11.957,1
ecgclass,14.8873,16.074,1
ecgclass,14.9054,17.215,1
ecgclass,14.9076,24.539,1
ecgclass,14.9128,28.915,1
ecgclass,14.9924,9.986,1
ecgclass,15.0245,10.160,1
ecgclass,15.0600,11.066,1
ecgclass,15.0647,15.779,1
ecgclass,15.0721,17.939,1
ecgclass,15.1443,9.964,1
ecgclass,15.1703,10.447,1
ecgclass,15.1819,9.703,1
ecgclass,15.2166,9.785,1
ecgclass,15.4119,10.296,1
ecgclass,15.4619,18.368,1
ecgclass,15.4896,9.796,1
ecgclass,15.5145,10.123,1
ecgclass,15.5640,10.089,1
ecgclass,15.5880,9.819,1
ecgclass,15.5989,9.721,1
ecgclass,15.6277,10.191,1
ecgclass,15.7003,10.604,1
ecgclass,15.7538,22.376,1
ecgclass,15.7605,24.988,1
ecgclass,15.8248,9.764,1
ecgclass,15.8471,15.595,1
ecgclass,15.9008,9.789,1
ecgclass,15.9295,9.886,1
ecgclass,15.9465,9.935,1
ecgclass,16.0627,9.753,1
ecgclass,16.1509,9.851,1
ecgclass,16.1618,9.744,1
ecgclass,16.1816,10.003,1
ecgclass,16.2133,9.836,1
ecgclass,16.2206,12.123,1
ecgclass,16.2521,10.021,1
ecgclass,16.2682,9.873,1
ecgclass,16.2716,25.231,1
ecgclass,16.2728,33.470,1
ecgclass,16.2842,31.391,1
ecgclass,16.3541,9.778,1
ecgclass,16.3584,14.824,1
ecgclass,16.3896,13.085,1
ecgclass,16.4025,10.298,1
ecgclass,16.4038,18.543,1
ecgclass,16.4389,11.716,1
ecgclass,16.5776,10.037,1
ecgclass,16.5860,20.320,1
ecgclass,16.6041,20.917,1
ecgclass,16.6238,10.745,1
ecgclass,16.6345,9.826,1
ecgclass,16.6397,14.086,1
ecgclass,16.6524,10.877,1
ecgclass,16.7148,9.725,1
ecgclass,16.7898,10.342,1
ecgclass,16.8713,10.365,1
ecgclass,16.8898,10.552,1
ecgclass,16.8991,10.726,1
ecgclass,16.9474,10.274,1
ecgclass,17.0021,12.704,1
ecgclass,17.0044,29.157,1
ecgclass,17.0618,9.718,1
ecgclass,17.1158,16.123,1
ecgclass,17.1873,15.191,1
ecgclass,17.2216,9.992,1
ecgclass,17.2507,9.995,1
ecgclass,17.2890,9.764,1
ecgclass,17.3236,21.160,1
ecgclass,17.3320,22.027,1
ecgclass,17.3601,9.924,1
ecgclass,17.3970,9.851,1
ecgclass,17.4259,10.182,1
ecgclass,17.4372,17.836,1
ecgclass,17.4631,10.473,1
ecgclass,17.4723,10.644,1
ecgclass,17.5721,11.038,1
ecgclass,17.6216,17.088,1
ecgclass,17.6418,9.807,1
ecgclass,17.6950,15.364,1
ecgclass,17.7245,10.026,1
ecgclass,17.7366,16.563,1
ecgclass,17.7863,10.423,1
ecgclass,17.8653,15.444,1
ecgclass,17.8818,9.757,1
ecgclass,17.8901,10.853,1
ecgclass,17.9103,9.764,1
ecgclass,17.9798,9.771,1
ecgclass,18.0020,9.938,1
ecgclass,18.0457,10.196,1
ecgclass,18.0490,16.170,1
ecgclass,18.0793,9.989,1
ecgclass,18.0973,9.993,1
ecgclass,18.1094,9.767,1
ecgclass,18.1673,11.190,1
ecgclass,18.1686,19.197,1
ecgclass,18.2053,29.616,1
ecgclass,18.3428,10.415,1
ecgclass,18.4067,10.234,1
ecgclass,18.4080,21.183,1
ecgclass,18.4124,32.809,1
ecgclass,18.4169,37.777,1
ecgclass,18.4211,42.921,1
ecgclass,18.4243,49.129,1
ecgclass,18.4325,69.646,1
ecgclass,18.4483,82.367,1
ecgclass,18.4901,59.566,1
ecgclass,18.4924,66.757,1
ecgclass,18.4947,74.398,1
ecgclass,18.5170,70.976,1
ecgclass,18.5201,77.425,1
ecgclass,18.5974,47.906,1
ecgclass,18.6261,28.777,1
ecgclass,18.6600,14.001,1
ecgclass,18.6695,14.139,1
ecgclass,18.7521,13.496,1
ecgclass,18.7757,9.912,1
ecgclass,18.7800,15.012,1
ecgclass,18.8478,24.008,1
ecgclass,18.8528,28.286,1
ecgclass,18.8882,9.922,1
ecgclass,18.9222,10.051,1
ecgclass,18.9514,10.150,1
ecgclass,18.9756,9.973,1
ecgclass,19.1073,11.060,1
ecgclass,19.1205,9.788,1
ecgclass,19.1638,23.991,1
ecgclass,19.1660,31.211,1
ecgclass,19.1671,39.458,1
ecgclass,19.2479,16.185,1
ecgclass,19.2841,9.836,1
ecgclass,19.3394,9.856,1
ecgclass,19.3963,9.685,1
ecgclass,19.4279,18.883,1
ecgclass,19.4540,20.991,1
ecgclass,19.4707,13.802,1
ecgclass,19.5131,9.855,1
ecgclass,19.5531,14.594,1
ecgclass,19.6077,19.490,1
ecgclass,19.7122,9.875,1
ecgclass,19.7465,9.945,1
ecgclass,19.8272,10.169,1
ecgclass,19.8426,18.103,1
ecgclass,19.8959,15.103,1
ecgclass,19.9077,12.633,1
ecgclass,19.9453,10.153,1
ecgclass,19.9476,26.556,1
ecgclass,19.9719,21.102,1
ecgclass,20.0024,9.879,1
ecgclass,20.0263,10.115,1
ecgclass,20.0316,14.208,1
ecgclass,20.0653,9.872,1
ecgclass,20.0913,9.972,1
ecgclass,20.1296,10.143,1
ecgclass,20.1794,9.964,1
ecgclass,20.1837,15.102,1
ecgclass,20.1879,20.303,1
ecgclass,20.2102,9.820,1
ecgclass,20.2312,9.933,1
ecgclass,20.3068,14.460,1
ecgclass,20.3547,16.231,1
ecgclass,20.3750,9.828,1
ecgclass,20.4059,10.056,1
ecgclass,20.4092,16.183,1
ecgclass,20.4145,29.405,1
ecgclass,20.4620,27.216,1
ecgclass,20.4902,17.802,1
ecgclass,20.5222,19.718,1
ecgclass,20.5777,9.967,1
ecgclass,20.5830,14.062,1
ecgclass,20.6464,10.446,1
ecgclass,20.6689,9.908,1
ecgclass,20.6752,12.957,1
ecgclass,20.7119,10.261,1
ecgclass,20.7202,11.641,1
ecgclass,20.7232,17.987,1
ecgclass,20.7317,18.998,1
ecgclass,20.7881,15.289,1
ecgclass,20.7933,19.388,1
ecgclass,20.8198,9.912,1
ecgclass,20.8668,10.340,1
ecgclass,20.8892,10.006,1
ecgclass,20.9440,19.994,1
ecgclass,20.9617,11.728,1
ecgclass,21.1176,9.962,1
ecgclass,21.1317,9.867,1
ecgclass,21.2016,10.698,1
ecgclass,21.2194,11.702,1
ecgclass,21.2394,13.964,1
ecgclass,21.2426,20.144,1
ecgclass,21.2776,14.684,1
ecgclass,21.2910,10.746,1
ecgclass,21.2994,11.855,1
ecgclass,21.3845,10.924,1
ecgclass,21.3869,17.824,1
ecgclass,21.4078,25.475,1
ecgclass,21.4184,24.277,1
ecgclass,21.4396,32.510,1
ecgclass,21.5248,20.361,1
ecgclass,21.6088,10.393,1
ecgclass,21.6173,20.823,1
ecgclass,21.6813,10.643,1
ecgclass,21.7220,10.377,1
ecgclass,21.7615,10.518,1
ecgclass,21.8065,10.329,1
ecgclass,21.8098,16.513,1
ecgclass,21.8239,21.162,1
ecgclass,21.9652,10.174,1
ecgclass,22.0074,9.737,1
ecgclass,22.0357,9.811,1
ecgclass,22.0506,14.147,1
ecgclass,22.0584,15.768,1
ecgclass,22.0753,18.078,1
ecgclass,22.1054,10.038,1
ecgclass,22.2063,12.618,1
ecgclass,22.2063,22.086,1
ecgclass,22.2156,22.196,1
ecgclass,22.2365,20.265,1
ecgclass,22.2472,18.966,1
ecgclass,22.2723,9.871,1
ecgclass,22.4212,13.489,1
ecgclass,22.4293,14.929,1
ecgclass,22.4645,21.076,1
ecgclass,22.5154,19.828,1
ecgclass,22.5330,11.539,1
ecgclass,22.5560,9.834,1
ecgclass,22.5679,19.349,1
ecgclass,22.5702,26.541,1
ecgclass,22.6421,9.901,1
ecgclass,22.6483,13.033,1
ecgclass,22.6654,9.757,1
ecgclass,22.6953,10.050,1
ecgclass,22.7124,9.773,1
ecgclass,22.7323,10.089,1
ecgclass,22.7335,18.117,1
ecgclass,22.7347,26.375,1
ecgclass,22.7818,9.832,1
ecgclass,22.7915,9.776,1
ecgclass,22.8154,10.061,1
ecgclass,22.8315,9.808,1
ecgclass,22.8464,9.786,1
ecgclass,22.8716,9.758,1
ecgclass,22.9241,10.168,1
ecgclass,22.9584,12.756,1
ecgclass,22.9772,9.846,1
ecgclass,22.9951,10.650,1
ecgclass,22.9985,16.585,1
ecgclass,23.0212,9.868,1
ecgclass,23.0611,10.215,1
ecgclass,23.0744,9.716,1
ecgclass,23.1825,9.865,1
ecgclass,23.2504,10.253,1
ecgclass,23.2924,14.855,1
ecgclass,23.3083,17.755,1
ecgclass,23.4238,10.343,1
ecgclass,23.4312,12.474,1
ecgclass,23.4435,9.650,1
ecgclass,23.4508,11.785,1
ecgclass,23.5366,14.983,1
ecgclass,23.5420,18.878,1
ecgclass,23.5443,26.005,1
ecgclass,23.6415,9.706,1
ecgclass,23.6509,19.358,1
ecgclass,23.6563,23.381,1
ecgclass,23.7285,14.971,1
ecgclass,23.8016,11.501,1
ecgclass,23.8089,13.610,1
ecgclass,23.8256,10.017,1
ecgclass,23.8268,18.162,1
ecgclass,23.8387,15.712,1
ecgclass,23.8419,22.010,1
ecgclass,23.8555,17.935,1
ecgclass,23.8629,29.546,1
ecgclass,23.9105,9.897,1
ecgclass,23.9247,23.949,1
ecgclass,23.9611,25.274,1
ecgclass,23.9810,24.460,1
ecgclass,24.0420,10.262,1
ecgclass,24.0573,9.790,1
ecgclass,24.0790,9.669,1
ecgclass,24.1167,9.933,1
ecgclass,24.1467,10.110,1
ecgclass,24.2059,10.248,1
ecgclass,24.2687,9.754,1
ecgclass,24.2749,12.893,1
ecgclass,24.2991,12.923,1
ecgclass,24.3254,13.113,1
ecgclass,24.3606,10.551,1
ecgclass,24.3679,12.829,1
ecgclass,24.3804,19.148,1
ecgclass,24.4037,10.079,1
ecgclass,24.4090,23.561,1
ecgclass,24.4158,26.105,1
ecgclass,24.4190,32.281,1
ecgclass,24.4656,18.456,1
ecgclass,24.5149,10.099,1
ecgclass,24.5470,10.050,1
ecgclass,24.6227,14.608,1
ecgclass,24.7116,10.563,1
ecgclass,24.7415,9.938,1
ecgclass,24.7688,15.939,1
ecgclass,24.9111,9.753,1
ecgclass,24.9163,14.716,1
ecgclass,24.9229,16.816,1
ecgclass,24.9301,19.043,1
ecgclass,24.9371,21.481,1
ecgclass,24.9867,20.085,1
ecgclass,25.0045,21.342,1
ecgclass,25.0660,18.080,1
ecgclass,25.0808,12.606,1
ecgclass,25.1175,10.112,1
ecgclass,25.1437,9.977,1
ecgclass,25.1678,9.986,1
ecgclass,25.1761,11.016,1
ecgclass,25.1952,9.852,1
ecgclass,25.2081,9.713,1
ecgclass,25.2549,10.310,1
ecgclass,25.2943,10.156,1
ecgclass,25.3075,9.848,1
ecgclass,25.3610,9.995,1
ecgclass,25.4226,9.830,1
ecgclass,25.5296,14.890,1
ecgclass,25.5339,19.982,1
ecgclass,25.5840,19.781,1
ecgclass,25.6456,9.831,1
ecgclass,25.6519,12.987,1
ecgclass,25.6950,10.401,1
ecgclass,25.6963,18.399,1
ecgclass,25.7766,10.562,1
ecgclass,25.8641,10.104,1
ecgclass,25.8653,18.695,1
ecgclass,25.8705,22.815,1
ecgclass,25.9164,10.155,1
ecgclass,25.9869,9.941,1
ecgclass,26.1007,10.988,1
ecgclass,26.1128,9.769,1
ecgclass,26.1308,13.810,1
ecgclass,26.1580,12.064,1
ecgclass,26.1805,17.801,1
ecgclass,26.2458,12.000,1
ecgclass,26.2546,22.113,1
ecgclass,26.2682,27.226,1
ecgclass,26.3036,9.997,1
ecgclass,26.3616,10.234,1
ecgclass,26.3917,9.697,1
ecgclass,26.3989,12.024,1
ecgclass,26.4011,19.256,1
ecgclass,26.4108,18.967,1
ecgclass,26.4398,9.985,1
ecgclass,26.4549,13.802,1
ecgclass,26.4708,9.770,1
ecgclass,26.5239,10.404,1
ecgclass,26.6293,9.732,1
ecgclass,26.6461,10.063,1
ecgclass,26.7140,10.434,1
ecgclass,26.7476,10.142,1
ecgclass,26.7988,10.310,1
ecgclass,26.8237,23.166,1
ecgclass,26.9379,17.766,1
ecgclass,26.9451,19.946,1
ecgclass,26.9617,22.149,1
ecgclass,26.9630,30.399,1
ecgclass,27.0514,9.771,1
ecgclass,27.0713,9.854,1
ecgclass,27.0892,9.918,1
ecgclass,27.1022,9.745,1
ecgclass,27.1095,11.884,1
ecgclass,27.1170,23.033,1
ecgclass,27.1348,14.695,1
ecgclass,27.1807,21.406,1
ecgclass,27.1830,28.570,1
ecgclass,27.2008,29.680,1
ecgclass,27.2460,9.984,1
ecgclass,27.3023,15.243,1
ecgclass,27.3132,23.010,1
ecgclass,27.3319,13.739,1
ecgclass,27.3508,14.154,1
ecgclass,27.3563,18.034,1
ecgclass,27.3648,18.985,1
ecgclass,27.3869,9.873,1
ecgclass,27.4349,10.314,1
ecgclass,27.4372,17.378,1
ecgclass,27.4606,12.603,1
ecgclass,27.4680,14.751,1
ecgclass,27.4702,21.991,1
ecgclass,27.4714,30.201,1
ecgclass,27.4826,28.380,1
ecgclass,27.5517,10.078,1
ecgclass,27.6489,10.854,1
ecgclass,27.6503,18.787,1
ecgclass,27.7320,9.758,1
ecgclass,27.8228,9.876,1
ecgclass,27.8270,15.217,1
ecgclass,27.9356,9.866,1
ecgclass,27.9378,17.046,1
ecgclass,27.9440,20.449,1
ecgclass,27.9559,17.981,1
ecgclass,27.9926,9.995,1
ecgclass,27.9928,19.319,1
ecgclass,28.0666,15.650,1
ecgclass,28.1208,10.245,1
ecgclass,28.1371,9.994,1
