task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,347.2543,322.4892,261.4583,0.0037,60.0467,6.5405,24.7651,1776112270698043208
nyudepth,no_sharing,2.4056,61.2895,41.1615,28.26,0.0054,11.5793,5.1479,20.1281,1776112273102147279
nyudepth,no_sharing,4.7419,60.097,40.7204,28.3605,0.0046,11.3559,5.0471,19.3766,1776112275438384933
nyudepth,no_sharing,7.1268,60.199,41.0368,28.4315,0.0049,11.5296,4.4549,19.1622,1776112277822630657
nyudepth,no_sharing,7.4054,66.4933,40.7034,27.9715,0.0047,11.5882,4.6902,25.7899,1776112278101459433
nyudepth,no_sharing,7.4921,60.925,41.5575,28.6439,0.0051,11.6484,4.8082,19.3676,1776112278188310938
nyudepth,no_sharing,8.9464,61.2042,41.976,29.0667,0.0051,11.6054,4.518,19.2282,1776112279642318951
nyudepth,no_sharing,10.3561,60.7886,41.7192,28.7865,0.0049,11.6531,4.6253,19.0695,1776112281052171512
nyudepth,no_sharing,13.4793,62.283,42.5416,29.5044,0.0051,11.7027,4.9739,19.7414,1776112284175644405
nyudepth,no_sharing,13.5588,60.0483,41.3366,28.8335,0.0048,11.3343,4.107,18.7117,1776112284254299620
nyudepth,no_sharing,14.6048,62.3629,43.0139,29.5137,0.0052,12.1522,4.8461,19.349,1776112285301078514
nyudepth,no_sharing,14.6754,64.8365,44.6805,32.3171,0.0054,11.0953,5.476,20.156,1776112285372293020
nyudepth,no_sharing,15.7649,61.4038,42.2689,29.343,0.0047,11.5282,4.5805,19.1349,1776112286460868700
nyudepth,no_sharing,17.4969,61.5094,42.5839,29.3376,0.005,11.9634,4.3757,18.9255,1776112288192646769
nyudepth,no_sharing,17.8829,60.6732,42.075,28.8691,0.005,12.036,4.2024,18.5983,1776112288578488572
nyudepth,no_sharing,19.1149,60.5845,41.3628,29.0335,0.0037,11.0148,4.5393,19.2217,1776112289810856148
nyudepth,no_sharing,19.2678,60.4379,41.9419,28.8252,0.0049,11.8913,4.0896,18.496,1776112289963252302
nyudepth,no_sharing,19.3594,59.7222,41.4168,28.7803,0.005,11.4996,3.6929,18.3054,1776112290054522890
nyudepth,no_sharing,19.6746,61.9836,41.9723,29.2,0.0049,11.495,4.2274,20.0113,1776112290370201338
nyudepth,no_sharing,20.5761,60.9605,42.0085,29.3313,0.0053,11.3935,4.2939,18.952,1776112291271786048
nyudepth,no_sharing,20.9896,59.8698,40.9931,28.9195,0.0047,10.8952,4.5016,18.8767,1776112291685500415
nyudepth,no_sharing,22.2376,67.9862,46.8569,33.0979,0.005,12.3737,6.6502,21.1294,1776112292935640755
nyudepth,no_sharing,22.46,61.3613,41.6933,28.9177,0.005,11.5739,4.9596,19.6681,1776112293156315557
nyudepth,no_sharing,24.2993,80.5771,60.9857,43.1549,0.0054,16.4538,4.6744,19.5915,1776112294995348342
nyudepth,no_sharing,25.5257,62.0072,42.4051,29.5064,0.0051,11.5196,4.7438,19.6021,1776112296221885072
nyudepth,no_sharing,26.1815,60.4727,41.2864,28.9308,0.0049,11.2025,4.7784,19.1863,1776112296877701974
nyudepth,no_sharing,26.5985,59.5832,41.0148,28.901,0.0045,10.9565,4.2377,18.5684,1776112297294169780
nyudepth,no_sharing,27.051,62.099,43.4975,29.1768,0.0044,11.9382,4.2219,18.6015,1776112297746658147
nyudepth,no_sharing,27.1284,80.0111,61.3977,47.4378,0.0044,12.8371,4.2334,18.6134,1776112297824000658
nyudepth,no_sharing,27.3076,60.9729,40.9177,28.4676,0.005,11.295,5.4233,20.0553,1776112298004399127
nyudepth,no_sharing,27.9933,61.7137,42.3419,29.3474,0.0049,11.746,4.5605,19.3718,1776112298689223570
nyudepth,no_sharing,28.382,86.9367,68.3778,29.2151,0.0049,37.9119,3.9318,18.5589,1776112299077335719
nyudepth,no_sharing,29.6475,62.1409,42.454,29.2645,0.0049,11.9181,5.1658,19.6869,1776112300344017744
nyudepth,no_sharing,30.3554,59.917,41.0005,28.9022,0.0046,10.9081,4.5085,18.9165,1776112301051327478
nyudepth,no_sharing,30.5921,61.1486,42.485,29.1998,0.0053,12.0426,4.3373,18.6636,1776112301287835367
nyudepth,no_sharing,31.0538,59.7923,41.324,28.842,0.0047,11.3261,4.01,18.4683,1776112301749234779
nyudepth,no_sharing,31.6954,59.1359,40.8849,28.9392,0.005,10.7585,4.1006,18.251,1776112302390878119
nyudepth,no_sharing,32.039,63.5018,43.6875,29.3984,0.0052,11.9547,5.2006,19.8144,1776112302735619056
nyudepth,no_sharing,32.361,59.1712,40.7447,28.8112,0.0041,10.7016,4.1158,18.4265,1776112303056495252
nyudepth,no_sharing,33.2402,79.8397,61.1447,38.5049,0.0053,21.343,4.24,18.695,1776112303935839653
nyudepth,no_sharing,33.5375,61.4591,41.7494,29.1895,0.0049,11.3426,5.384,19.7096,1776112304234244503
