task,t_center,arrival_rps,served_rps,arr_count,srv_count
exchangefore,0.5,6.0,6.0,6.0,6.0
exchangefore,1.5,7.0,5.0,7.0,5.0
exchangefore,2.5,3.0,5.0,3.0,5.0
exchangefore,3.5,2.0,2.0,2.0,2.0
exchangefore,4.5,5.0,5.0,5.0,5.0
exchangefore,5.5,3.0,3.0,3.0,3.0
exchangefore,6.5,8.0,8.0,8.0,8.0
exchangefore,7.5,6.0,6.0,6.0,6.0
exchangefore,8.5,1.0,1.0,1.0,1.0
exchangefore,9.5,5.0,5.0,5.0,5.0
exchangefore,10.5,6.0,6.0,6.0,6.0
exchangefore,11.5,3.0,3.0,3.0,3.0
exchangefore,12.5,9.0,9.0,9.0,9.0
exchangefore,13.5,8.0,8.0,8.0,8.0
exchangefore,14.5,2.0,2.0,2.0,2.0
exchangefore,15.5,4.0,3.0,4.0,3.0
exchangefore,16.5,10.0,11.0,10.0,11.0
exchangefore,17.5,4.0,3.0,4.0,3.0
exchangefore,18.5,12.0,12.0,12.0,12.0
exchangefore,19.5,7.0,8.0,7.0,8.0
exchangefore,20.5,15.0,15.0,15.0,15.0
exchangefore,21.5,11.0,11.0,11.0,11.0
exchangefore,22.5,5.0,5.0,5.0,5.0
exchangefore,23.5,11.0,11.0,11.0,11.0
exchangefore,24.5,6.0,6.0,6.0,6.0
exchangefore,25.5,3.0,2.0,3.0,2.0
exchangefore,26.5,4.0,3.0,4.0,3.0
exchangefore,27.5,6.0,8.0,6.0,8.0
exchangefore,28.5,3.0,3.0,3.0,3.0
exchangefore,29.5,4.0,4.0,4.0,4.0
exchangefore,30.5,7.0,6.0,7.0,6.0
exchangefore,31.5,3.0,3.0,3.0,3.0
exchangefore,32.5,5.0,6.0,5.0,6.0
exchangefore,33.5,5.0,5.0,5.0,5.0
exchangefore,34.5,6.0,6.0,6.0,6.0
exchangefore,35.5,8.0,7.0,8.0,7.0
exchangefore,36.5,5.0,6.0,5.0,6.0
exchangefore,37.5,5.0,5.0,5.0,5.0
exchangefore,38.5,8.0,8.0,8.0,8.0
exchangefore,39.5,4.0,4.0,4.0,4.0
exchangefore,40.5,4.0,4.0,4.0,4.0
exchangefore,41.5,1.0,1.0,1.0,1.0
exchangefore,42.5,5.0,5.0,5.0,5.0
exchangefore,43.5,9.0,8.0,9.0,8.0
exchangefore,44.5,3.0,4.0,3.0,4.0
exchangefore,45.5,6.0,5.0,6.0,5.0
exchangefore,46.5,6.0,7.0,6.0,7.0
exchangefore,47.5,6.0,5.0,6.0,5.0
exchangefore,48.5,9.0,9.0,9.0,9.0
exchangefore,49.5,5.0,5.0,5.0,5.0
exchangefore,50.5,3.0,4.0,3.0,4.0
exchangefore,51.5,9.0,9.0,9.0,9.0
exchangefore,52.5,4.0,2.0,4.0,2.0
exchangefore,53.5,8.0,10.0,8.0,10.0
exchangefore,54.5,7.0,6.0,7.0,6.0
exchangefore,55.5,3.0,4.0,3.0,4.0
exchangefore,56.5,8.0,8.0,8.0,8.0
exchangefore,57.5,1.0,1.0,1.0,1.0
exchangefore,58.5,4.0,3.0,4.0,3.0
exchangefore,59.5,4.0,5.0,4.0,5.0
heartrate,0.5,8.0,8.0,8.0,8.0
heartrate,1.5,4.0,3.0,4.0,3.0
heartrate,2.5,4.0,5.0,4.0,5.0
heartrate,3.5,5.0,4.0,5.0,4.0
heartrate,4.5,2.0,3.0,2.0,3.0
heartrate,5.5,7.0,7.0,7.0,7.0
heartrate,6.5,9.0,9.0,9.0,9.0
heartrate,7.5,1.0,1.0,1.0,1.0
heartrate,8.5,6.0,6.0,6.0,6.0
heartrate,9.5,9.0,7.0,9.0,7.0
heartrate,10.5,3.0,4.0,3.0,4.0
heartrate,11.5,8.0,8.0,8.0,8.0
heartrate,12.5,4.0,5.0,4.0,5.0
heartrate,13.5,3.0,3.0,3.0,3.0
heartrate,14.5,4.0,4.0,4.0,4.0
heartrate,15.5,2.0,2.0,2.0,2.0
heartrate,16.5,3.0,3.0,3.0,3.0
heartrate,17.5,4.0,4.0,4.0,4.0
heartrate,18.5,3.0,2.0,3.0,2.0
heartrate,19.5,2.0,3.0,2.0,3.0
heartrate,20.5,5.0,5.0,5.0,5.0
heartrate,21.5,8.0,7.0,8.0,7.0
heartrate,22.5,3.0,3.0,3.0,3.0
