task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,fifo,0.0001,356.8811,355.0414,338.3889,0.0029,15.3996,1.2078,0.0,1.8398,1777832855651146258,1
ecgclass,fifo,0.3011,118.4328,35.3046,33.2868,0.0019,1.0297,82.7723,0.0,83.1282,1777832856033749458,1
ecgclass,fifo,0.5937,24.9915,23.6724,22.5488,0.0024,0.4293,0.8998,0.0,1.3191,1777832856244463160,1
ecgclass,fifo,0.8923,25.2085,23.811,22.5882,0.0027,0.4427,0.8585,0.0,1.3974,1777832856542960738,1
ecgclass,fifo,0.9277,25.0261,23.837,22.4287,0.0023,0.5404,0.7188,0.0,1.1891,1777832856578225074,1
ecgclass,fifo,0.9381,37.3297,23.4722,22.3954,0.0022,0.3851,13.3882,0.0,13.8575,1777832856601320761,1
ecgclass,fifo,1.1187,24.5452,23.2689,22.1303,0.0025,0.4236,0.7458,0.0,1.2763,1777832856769252597,1
ecgclass,fifo,1.298,28.0864,25.8821,24.6707,0.0025,0.4442,1.7228,0.0,2.2044,1777832856949566747,1
ecgclass,fifo,1.6856,29.9337,23.2649,22.0994,0.0019,0.4427,6.3269,0.0,6.6688,1777832857341791324,1
ecgclass,fifo,1.6951,42.4845,22.665,21.7871,0.0017,0.364,19.4952,0.0,19.8195,1777832857364402846,1
ecgclass,fifo,1.8258,25.6991,24.5716,23.186,0.0022,0.576,0.7102,0.0,1.1276,1777832857476316820,1
ecgclass,fifo,1.8361,38.4579,23.9,22.9103,0.0018,0.3745,14.1683,0.0,14.5579,1777832857500114424,1
ecgclass,fifo,1.9708,24.3483,23.1778,22.1002,0.0025,0.4068,0.7482,0.0,1.1705,1777832857621397373,1
ecgclass,fifo,2.1877,24.3955,23.1703,22.0688,0.0028,0.4476,0.7846,0.0,1.2252,1777832857838275801,1
ecgclass,fifo,2.2355,45.8629,23.8339,22.7268,0.0018,0.5161,21.6167,0.0,22.0291,1777832857906968824,1
ecgclass,fifo,2.3899,29.0413,24.0848,22.9117,0.0022,0.4332,4.6246,0.0,4.9564,1777832858044404066,1
ecgclass,fifo,2.4099,33.494,24.9783,23.6833,0.002,0.5122,8.1565,0.0,8.5157,1777832858067892624,1
ecgclass,fifo,2.4201,47.2403,24.6471,23.4017,0.0018,0.4726,22.2263,0.0,22.5932,1777832858092168851,1
ecgclass,fifo,2.4595,30.9694,23.8624,22.9362,0.0015,0.3549,6.8095,0.0,7.1069,1777832858116184249,1
ecgclass,fifo,2.573,27.6535,24.5949,23.3514,0.0018,0.5562,2.7049,0.0,3.0585,1777832858225514222,1
ecgclass,fifo,2.6238,27.7166,23.7768,22.7393,0.0019,0.3689,3.5408,0.0,3.9399,1777832858277162520,1
ecgclass,fifo,2.7806,27.5643,26.1267,24.6211,0.0023,0.5932,0.7885,0.0,1.4376,1777832858431173902,1
ecgclass,fifo,2.8079,50.0801,27.1533,25.9414,0.0019,0.5407,22.5265,0.0,22.9267,1777832858480297367,1
ecgclass,fifo,3.0376,25.4779,24.1251,22.9719,0.0025,0.4527,0.8595,0.0,1.3528,1777832858688271497,1
ecgclass,fifo,3.1907,38.394,23.6499,22.2228,0.0023,0.3796,14.4081,0.0,14.744,1777832858854947038,1
ecgclass,fifo,3.2733,50.4122,23.7155,22.694,0.0024,0.4084,26.2902,0.0,26.6967,1777832858949408825,1
ecgclass,fifo,3.3248,24.811,23.4126,22.1407,0.0021,0.5016,0.5898,0.0,1.3984,1777832858975254470,1
ecgclass,fifo,3.3829,51.2729,38.2574,36.4962,0.0023,0.408,12.5337,0.0,13.0155,1777832859045260442,1
ecgclass,fifo,3.3916,42.6674,38.2574,36.4962,0.0023,0.408,3.8581,0.0,4.41,1777832859045260442,1
ecgclass,fifo,3.4137,44.21,24.8376,23.9099,0.0019,0.357,19.0237,0.0,19.3723,1777832859082561834,1
ecgclass,fifo,3.4998,34.2443,26.665,25.3264,0.0018,0.5338,6.9482,0.0,7.5793,1777832859156621045,1
ecgclass,fifo,3.5483,32.2683,23.0686,22.1025,0.0019,0.3577,8.8913,0.0,9.1997,1777832859206999713,1
ecgclass,fifo,3.7068,25.0683,23.9305,22.3651,0.0024,0.603,0.7381,0.0,1.1378,1777832859357365693,1
ecgclass,fifo,3.796,23.1371,22.3175,21.4463,0.0018,0.3573,0.4869,0.0,0.8196,1777832859446277080,1
ecgclass,fifo,3.8242,23.2964,22.5151,21.6745,0.0016,0.3476,0.4723,0.0,0.7813,1777832859474537132,1
ecgclass,fifo,3.8821,29.2773,26.1985,25.0359,0.0017,0.5184,2.7137,0.0,3.0788,1777832859534686334,1
ecgclass,fifo,3.9627,24.7424,23.8494,22.3094,0.0017,0.3508,0.5226,0.0,0.893,1777832859613105834,1
ecgclass,fifo,4.0066,23.592,22.7096,21.7525,0.0023,0.3724,0.4737,0.0,0.8824,1777832859656924193,1
ecgclass,fifo,4.0453,24.2016,23.2325,22.2978,0.0018,0.3606,0.591,0.0,0.9691,1777832859695775384,1
ecgclass,fifo,4.1558,25.4965,24.1302,22.9329,0.003,0.437,0.8595,0.0,1.3663,1777832859806495503,1
ecgclass,fifo,4.1925,24.7316,23.676,22.3561,0.0022,0.526,0.6444,0.0,1.0556,1777832859842955150,1
ecgclass,fifo,4.3601,24.3661,23.1921,22.1302,0.0025,0.3914,0.7284,0.0,1.174,1777832860010646436,1
ecgclass,fifo,4.5336,24.7259,23.4842,22.3886,0.0029,0.412,0.7956,0.0,1.2418,1777832860184246790,1
ecgclass,fifo,4.6686,25.3348,24.1614,22.758,0.0023,0.5549,0.7775,0.0,1.1734,1777832860319214227,1
ecgclass,fifo,4.679,40.1564,26.0804,24.5946,0.0017,0.7957,13.7866,0.0,14.076,1777832860342613654,1
ecgclass,fifo,4.8194,24.5373,23.4137,22.3233,0.0023,0.4278,0.7081,0.0,1.1237,1777832860469907179,1
ecgclass,fifo,4.9892,24.5662,23.4311,22.3397,0.0022,0.4257,0.7291,0.0,1.1351,1777832860639729626,1
ecgclass,fifo,5.1287,24.0078,22.9136,21.8787,0.0025,0.4285,0.644,0.0,1.0942,1777832860779210606,1
ecgclass,fifo,5.1639,24.0726,23.0026,21.9995,0.0026,0.4118,0.6409,0.0,1.07,1777832860814356214,1
ecgclass,fifo,5.2041,24.4787,23.4749,22.2309,0.0021,0.4897,0.6053,0.0,1.0038,1777832860854534720,1
ecgclass,fifo,5.2254,25.5926,23.1651,22.1692,0.0025,0.3868,2.022,0.0,2.4274,1777832860877294438,1
ecgclass,fifo,5.2695,35.2895,26.3437,25.0916,0.0022,0.2911,8.5535,0.0,8.9458,1777832860927859405,1
ecgclass,fifo,5.2717,33.071,26.3437,25.0916,0.0022,0.2911,6.3004,0.0,6.7273,1777832860927859405,1
ecgclass,fifo,5.2931,34.1833,23.0246,22.0124,0.0023,0.3694,10.7582,0.0,11.1586,1777832860953645118,1
ecgclass,fifo,5.4575,25.5954,24.322,22.8327,0.0024,0.552,0.8447,0.0,1.2735,1777832861108206188,1
ecgclass,fifo,5.9571,23.4559,22.5023,21.5152,0.0024,0.4002,0.5705,0.0,0.9536,1777832861607538426,1
ecgclass,fifo,6.0281,37.2505,24.1034,22.7675,0.0023,0.4935,12.7373,0.0,13.1471,1777832861690627132,1
ecgclass,fifo,6.0625,29.7022,27.5413,26.1217,0.0022,0.5863,1.703,0.0,2.1608,1777832861714037901,1
ecgclass,fifo,6.1124,24.2777,23.2387,22.2271,0.0024,0.4081,0.6526,0.0,1.0389,1777832861762841930,1
ecgclass,fifo,6.1571,43.1569,25.472,24.5297,0.0023,0.1673,17.2977,0.0,17.6849,1777832861824261612,1
ecgclass,fifo,6.1734,26.8614,25.472,24.5297,0.0023,0.1673,0.9916,0.0,1.3895,1777832861824261612,1
ecgclass,fifo,6.3095,28.6934,22.805,21.8642,0.0025,0.3639,5.4984,0.0,5.8884,1777832861964850948,1
ecgclass,fifo,6.4813,23.4699,22.5471,21.5668,0.0026,0.3985,0.5572,0.0,0.9228,1777832862131693225,1
ecgclass,fifo,6.6701,23.875,22.841,21.7812,0.0024,0.4046,0.6509,0.0,1.034,1777832862320611362,1
ecgclass,fifo,7.3335,33.1831,23.914,22.8019,0.0026,0.4044,8.7922,0.0,9.2691,1777832862992099231,1
ecgclass,fifo,7.5964,24.5907,23.4146,22.303,0.0023,0.4388,0.7443,0.0,1.1762,1777832863246932339,1
ecgclass,fifo,7.802,23.9141,22.9384,21.9237,0.0023,0.4182,0.6061,0.0,0.9757,1777832863452396700,1
ecgclass,fifo,7.9331,24.8458,23.7478,22.7351,0.0023,0.4102,0.6998,0.0,1.0981,1777832863583645189,1
ecgclass,fifo,8.0071,24.5516,23.5765,22.2774,0.0023,0.5092,0.6006,0.0,0.9752,1777832863657544182,1
ecgclass,fifo,8.0124,44.5592,26.0301,24.8463,0.0025,0.5785,18.0981,0.0,18.5291,1777832863680364960,1
ecgclass,fifo,8.1323,25.0344,23.9152,22.6515,0.0025,0.5698,0.6971,0.0,1.1193,1777832863782830673,1
ecgclass,fifo,8.2099,23.5388,22.5504,21.5887,0.002,0.3771,0.5741,0.0,0.9884,1777832863860260767,1
ecgclass,fifo,8.3995,23.1431,22.2541,21.322,0.0019,0.3778,0.5486,0.0,0.889,1777832864049890648,1
ecgclass,fifo,8.6518,24.1323,23.151,21.9529,0.0019,0.5857,0.6328,0.0,0.9813,1777832864302223411,1
ecgclass,fifo,8.6933,32.3572,27.2131,25.3743,0.0017,0.8744,4.7593,0.0,5.1441,1777832864347905743,1
ecgclass,fifo,8.699,49.3658,23.7472,22.8462,0.0016,0.34,25.2917,0.0,25.6186,1777832864374080679,1
ecgclass,fifo,8.8145,23.3209,22.4825,21.6149,0.0016,0.367,0.5136,0.0,0.8384,1777832864464830829,1
